CensusTract,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Population,County
42123970700,0,0,0,0,10.4,899,8637,Somerset County
42123970800,0,1,0,1,14.2,1412,9965,Somerset County
42123970900,0,1,0,1,16.1,1277,7949,Somerset County
42123971000,0,0,0,0,5.9,452,7680,Somerset County
42123971100,0,0,0,0,5.5,456,8242,Somerset County
42123971200,0,0,0,1,24.3,1000,4121,Somerset County
42123971400,1,1,0,1,13.3,708,5312,Somerset County
42125704100,0,0,0,1,49.2,825,1675,Washington County
42125711000,0,0,0,0,6.1,789,12902,Washington County
42125712700,0,0,0,0,10.6,363,3429,Washington County
42125713700,0,0,0,0,14,1461,10445,Washington County
42125714000,0,0,0,1,12.9,990,7692,Washington County
42125715700,0,0,0,1,11.3,509,4496,Washington County
42125721000,0,0,0,0,7.9,951,12068,Washington County
42125722700,0,0,0,0,2.8,972,35232,Washington County
42125731000,0,0,0,0,10.3,1507,14674,Washington County
42125732000,0,0,0,0,5.6,613,11007,Washington County
42125741100,0,0,0,0,3.2,640,19740,Washington County
42125741300,0,0,0,0,4.1,488,12047,Washington County
42125742100,0,0,0,0,5.4,1233,22695,Washington County
42125742200,0,0,0,0,8,351,4371,Washington County
42125743700,0,0,0,0,15.6,481,3087,Washington County
42125744100,0,0,0,0,10.5,1752,16659,Washington County
42125744200,0,0,0,0,11,1065,9710,Washington County
42125745100,0,0,0,0,3.3,935,28381,Washington County
42125745200,0,0,0,0,2.7,569,21466,Washington County
42125746100,0,0,0,0,1.7,676,39729,Washington County
42125746200,0,0,0,0,1.4,231,16465,Washington County
42125746301,0,0,0,0,0.8,167,20040,Washington County
42125746302,0,0,0,0,3.4,526,15298,Washington County
42125751100,0,0,0,0,10.8,1356,12586,Washington County
42125751200,1,1,1,1,21.6,1138,5275,Washington County
42125752700,0,0,0,0,7.7,809,10448,Washington County
42125753700,0,0,0,0,12.1,362,2994,Washington County
42125754200,0,0,0,0,10.6,581,5474,Washington County
42125754300,0,1,0,1,14.2,939,6597,Washington County
