CensusTract,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,zip,Shortage_PF
42003101400,1,3346,1526,0,5,0.15,0,0,0,0,1,0,5,74943,1,1,1,1,1,0,0,1,749,598,513,2652,552,33,2,3,104,52,295,94,15206,0.188344042
42003101600,1,857,310,0,0,0,0,1,0,0,0,1,43.3,26667,0,1,0,1,0,0,0,0,756,316,82,51,789,2,0,0,15,4,100,224,15206,0.188344042
42003101700,1,1465,620,0,0,0,0,0,0,0,0,1,24.3,41420,0,0,0,0,0,0,0,0,606,363,197,278,1067,66,1,4,49,21,146,145,15206,0.188344042
42003101800,1,2522,1182,0,0,0,0,0,0,0,0,0,6,80536,0,1,0,1,0,0,0,0,413,427,450,1971,446,27,0,10,68,49,109,49,15206,0.188344042
42003110200,1,3971,1960,0,24,0.6,0,0,0,0,1,0,8.5,105250,0,1,0,1,0,0,0,1,952,681,434,2500,1166,142,0,10,153,118,193,113,15206,0.188344042
42003110600,1,2406,1034,0,0,0,0,0,0,0,1,0,15.5,119250,0,1,0,1,0,0,0,1,539,505,326,1735,518,76,0,3,74,70,209,99,15206,0.188344042
42003111300,1,2639,1237,0,164,6.21,0,0,0,0,1,0,17.8,63750,0,1,0,1,0,0,0,1,1134,537,346,659,1795,51,11,6,117,65,405,300,15206,0.188344042
42003111400,1,1353,586,0,8,0.59,0,0,0,0,0,1,28,46989,0,0,0,0,0,0,0,0,657,352,186,169,1087,29,1,5,62,26,218,200,15206,0.188344042
42003111500,1,3230,1819,0,179,5.54,0,0,0,0,0,1,18.2,26672,0,0,0,0,0,0,0,0,1882,549,540,808,2181,139,0,5,97,77,867,527,15206,0.188344042
42003120300,1,1650,718,0,0,0,1,1,1,1,1,1,25.8,50189,1,1,1,1,1,0,0,1,997,438,284,38,1572,0,0,7,33,9,350,208,15206,0.188344042
42003120400,1,869,366,0,0,0,0,1,0,1,1,1,52,21563,0,1,0,1,0,0,0,1,587,208,141,35,775,18,0,3,38,11,189,119,15206,0.188344042
42003120700,1,818,414,0,17,2.08,0,1,0,1,1,1,43.4,24688,0,1,0,1,0,0,0,1,601,186,201,19,782,1,0,3,13,7,127,155,15206,0.188344042
42003120800,1,859,296,0,156,18.16,0,0,0,0,0,1,30.9,30208,0,0,0,0,0,0,0,0,427,201,200,120,708,2,0,1,28,21,115,96,15206,0.188344042
42003130100,1,1910,765,0,0,0,0,1,0,1,1,1,69.7,20000,0,1,0,1,0,0,0,1,1339,604,242,47,1769,2,0,9,83,36,411,437,15206,0.188344042
42003140400,1,2306,948,0,0,0,0,0,0,0,0,0,5.8,197292,0,1,0,1,0,0,0,0,295,509,360,2094,55,95,0,8,54,62,50,11,15206,0.188344042
42003523100,1,4194,1723,0,0,0,1,1,1,1,1,1,20.3,56000,1,1,1,1,1,0,0,1,1243,942,788,418,3596,1,0,15,164,48,131,352,15206,0.188344042
42003561900,1,2232,968,0,178,7.97,1,1,1,1,1,1,31,36409,1,1,1,1,1,0,0,1,1388,538,477,57,2103,0,0,9,63,29,403,348,15206,0.188344042
42003980100,1,18,8,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,3,3,18,0,0,0,0,0,0,0,0,15206,0.188344042
42003981800,1,461,43,1,401,86.98,0,1,0,0,0,1,48.4,,0,1,0,1,0,0,0,0,29,27,212,261,180,2,0,4,14,14,8,0,15206,0.188344042
42003101700,1,1465,620,0,0,0,0,0,0,0,0,1,24.3,41420,0,0,0,0,0,0,0,0,606,363,197,278,1067,66,1,4,49,21,146,145,15202,1.257490514
42003429500,1,4212,2351,0,3,0.07,0,0,0,0,0,0,6.1,87404,0,1,0,1,0,0,0,0,1037,536,1108,3793,135,222,2,6,54,74,333,208,15202,1.257490514
42003429600,1,3428,1546,0,128,3.73,0,0,0,0,0,0,4.7,83542,0,1,0,1,0,0,0,0,525,637,529,3153,124,78,0,7,66,46,40,47,15202,1.257490514
42003429700,1,2371,1046,0,4,0.17,0,0,0,0,0,0,5.1,86250,0,1,0,1,0,0,0,0,387,443,510,2292,35,15,1,0,28,16,41,86,15202,1.257490514
42003430100,1,2104,919,0,0,0,0,0,0,0,0,0,10.7,80250,0,1,0,1,0,0,0,0,561,471,210,2017,54,9,0,1,23,30,32,60,15202,1.257490514
42003431100,1,3380,1674,0,31,0.92,0,0,0,0,0,0,14.9,74464,0,1,0,1,0,0,0,0,1013,628,349,2860,368,26,1,2,123,66,360,308,15202,1.257490514
42003431400,1,1902,901,0,7,0.37,0,0,0,0,0,0,9.9,68750,0,0,0,0,0,0,0,0,396,368,221,1698,133,10,0,1,60,24,175,169,15202,1.257490514
42003431500,1,3088,1660,0,34,1.1,0,0,0,0,0,0,12.5,66538,0,0,0,0,0,0,0,0,997,481,403,2708,247,54,2,2,75,72,463,361,15202,1.257490514
42003432300,1,2121,1124,0,65,3.06,0,0,0,0,0,0,9.7,70833,0,1,0,1,0,0,0,0,712,290,550,1865,176,9,0,19,52,22,320,93,15202,1.257490514
42003432400,1,2584,1287,0,14,0.54,0,0,0,0,0,0,5.3,83958,0,1,0,1,0,0,0,0,474,440,418,2253,232,16,0,1,82,35,131,173,15202,1.257490514
42003434000,1,1781,740,0,3,0.17,0,0,0,0,0,0,3.4,116607,1,1,1,1,1,0,0,0,225,439,219,1669,65,15,0,2,30,19,42,41,15202,1.257490514
42003435000,1,2449,1123,0,72,2.94,0,0,0,0,0,0,4.9,79000,1,1,1,1,1,0,0,0,517,508,319,2248,108,41,0,0,52,25,63,73,15202,1.257490514
42003437000,1,4757,1823,0,104,2.19,0,0,0,0,0,0,4.9,125441,1,1,1,1,1,0,0,0,714,1190,426,4461,87,149,0,0,60,81,15,50,15202,1.257490514
42003488200,1,3591,1457,0,84,2.34,0,0,0,0,1,0,19.8,62669,1,1,1,1,1,0,0,1,1050,864,632,2589,899,6,0,3,94,41,229,317,15202,1.257490514
42003563800,0,3806,1825,0,138,3.63,0,0,0,0,1,0,4.1,110272,0,0,0,0,0,0,0,1,397,642,1383,3684,43,33,0,2,44,27,208,25,15202,1.257490514
42003120700,1,818,414,0,17,2.08,0,1,0,1,1,1,43.4,24688,0,1,0,1,0,0,0,1,601,186,201,19,782,1,0,3,13,7,127,155,15208,0.205954801
42003120800,1,859,296,0,156,18.16,0,0,0,0,0,1,30.9,30208,0,0,0,0,0,0,0,0,427,201,200,120,708,2,0,1,28,21,115,96,15208,0.205954801
42003130100,1,1910,765,0,0,0,0,1,0,1,1,1,69.7,20000,0,1,0,1,0,0,0,1,1339,604,242,47,1769,2,0,9,83,36,411,437,15208,0.205954801
42003130200,1,1370,529,0,0,0,0,1,0,1,1,1,42.8,35395,0,1,0,1,0,0,0,1,1055,360,189,21,1291,5,0,5,48,25,190,242,15208,0.205954801
42003130300,1,1153,592,0,14,1.21,0,0,0,0,0,1,35.4,38750,0,0,0,0,0,0,0,0,830,266,285,25,1083,2,0,5,38,12,369,313,15208,0.205954801
42003130400,1,1191,487,0,3,0.25,0,0,0,0,0,1,48.2,27500,0,0,0,0,0,0,0,0,643,382,177,21,1137,5,0,7,21,9,186,142,15208,0.205954801
42003130600,1,3169,1318,0,0,0,0,1,0,1,1,1,42.7,36488,0,1,0,1,0,0,0,1,1615,1025,470,65,2953,14,2,18,117,37,732,721,15208,0.205954801
