,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Risk_Level,Shortage_PF
15052,,0.0,0.0,0.0,0.0,2924.0,12911.0,0.0,
15053,,0.0,0.0,0.0,0.0,1461.0,4567.0,0.0,
15054,,0.0,0.0,0.0,0.0,2613.0,10156.0,0.0,
15055,,0.0,0.0,0.0,0.0,719.0,6676.0,0.0,
15060,,0.0,0.0,0.0,1.0,2451.0,7742.0,0.0,
15064,,0.0,0.0,0.0,0.0,1172.0,7251.0,0.0,
15066,,1.0,1.0,1.0,1.0,9384.0,38571.0,2.0,
15067,,1.0,1.0,1.0,1.0,3241.0,12930.0,2.0,
15071,,0.0,0.0,0.0,0.0,6141.0,30801.0,0.0,
15075,,0.0,0.0,0.0,0.0,453.0,4042.0,0.0,
15077,,0.0,0.0,0.0,0.0,707.0,3276.0,0.0,
15078,,0.0,0.0,0.0,0.0,1461.0,4567.0,0.0,
15081,,0.0,0.0,0.0,0.0,903.0,4723.0,0.0,
15082,,0.0,0.0,0.0,0.0,1821.0,7824.0,0.0,
15083,,0.0,0.0,0.0,0.0,746.0,4582.0,0.0,
15085,,1.0,1.0,1.0,1.0,3417.0,11913.0,2.0,
15086,,0.0,0.0,0.0,0.0,1122.0,8961.0,0.0,
15089,,0.0,0.0,0.0,0.0,746.0,4582.0,0.0,
15091,,0.0,0.0,0.0,0.0,1214.0,5971.0,0.0,
15095,,0.0,0.0,0.0,0.0,879.0,5996.0,0.0,
15096,,0.0,0.0,0.0,0.0,879.0,5996.0,0.0,
15112,,1.0,1.0,1.0,1.0,7657.0,19962.0,2.0,
15123,,0.0,0.0,0.0,0.0,1269.0,5689.0,0.0,
15127,,0.0,0.0,0.0,0.0,177.0,4863.0,0.0,
15134,,0.0,1.0,0.0,1.0,976.0,1654.0,3.0,
15135,,0.0,0.0,0.0,0.0,1214.0,7202.0,0.0,
15142,,0.0,0.0,0.0,0.0,850.0,5265.0,0.0,
15143,,0.0,0.0,0.0,0.0,3354.0,33659.0,0.0,
15225,,1.0,1.0,1.0,1.0,373.0,1229.0,2.0,
15230,,0.0,0.0,0.0,0.0,990.0,4874.0,0.0,
15231,,0.0,0.0,0.0,0.0,3142.0,18271.0,0.0,
15232,,0.0,0.0,0.0,1.0,9936.0,31532.0,0.0,
15234,,1.0,1.0,1.0,1.0,8017.0,46950.0,2.0,
15240,,0.0,0.0,0.0,0.0,809.0,4197.0,0.0,
15241,,0.0,0.0,0.0,0.0,5291.0,47324.0,0.0,
15244,,0.0,0.0,0.0,0.0,954.0,5414.0,0.0,
15258,,0.0,0.0,0.0,0.0,990.0,4874.0,0.0,
15259,,0.0,0.0,0.0,0.0,990.0,4874.0,0.0,
15260,,1.0,1.0,1.0,1.0,11713.0,31965.0,2.0,
15261,,0.0,1.0,0.0,1.0,5265.0,12597.0,3.0,
15262,,0.0,0.0,0.0,0.0,990.0,4874.0,0.0,
15267,,0.0,0.0,0.0,0.0,0.0,3655.0,0.0,
15272,,0.0,0.0,0.0,0.0,990.0,4874.0,0.0,
15275,,0.0,0.0,0.0,0.0,2614.0,8978.0,0.0,
