zip,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Shortage_PF
15545,,0,0,0,0,903,3515,
15546,,0,0,0,1,2044,6132,
15547,,0,0,0,1,2044,6132,
15548,,0,0,0,1,1096,3355,
15549,,0,0,0,0,1420,5224,
15550,,0,0,0,0,903,3515,
15551,,0,0,0,1,1614,8935,
15553,,0,0,0,0,903,3515,
15555,,0,0,0,0,690,3044,
15558,,0,0,0,0,2034,6686,
15559,,0,0,0,0,903,3515,
15560,,0,0,0,0,659,2916,
15561,,0,0,0,0,690,3044,
15562,,0,0,0,0,1131,3171,
15563,,0,0,0,1,5072,16579,
15564,,0,0,0,0,903,3515,
15565,,0,0,0,0,1131,3171,
15610,,0,0,0,1,4263,14563,
15613,,0,0,0,0,3182,10965,
15618,,0,0,0,1,2758,9054,
15622,,0,0,0,1,3753,15035,
15631,,0,0,0,1,2261,6697,
15642,,0,0,0,0,367,3655,
15656,,1,1,1,1,3165,14620,
15666,,0,0,0,1,3481,11798,
15673,,0,0,0,0,2339,7310,
15681,,0,0,0,1,3847,13763,
15682,,0,1,0,1,917,3655,
15683,,0,0,0,1,3481,11798,
15686,,0,0,0,0,3135,10965,
15690,,0,0,0,1,3760,14620,
15705,,0,0,0,1,832,5078,
15710,,0,0,0,0,735,3415,
15712,,0,0,0,1,907,2845,
15713,,0,0,0,0,1391,4876,
15714,,1,1,1,1,4791,15982,
15716,,0,0,0,1,1556,3746,
15717,,0,0,0,1,6918,22938,
15720,,0,0,0,1,1245,4256,
15722,,1,1,1,1,1995,8665,
15723,,0,0,0,0,865,3793,
15724,,1,1,1,1,3582,11213,
15725,,0,0,0,1,1555,6453,
15727,,0,0,0,1,466,1744,
15728,,0,0,0,1,8172,23455,
15729,,0,0,0,1,3725,11229,
15731,,0,0,0,1,2061,6720,
15732,,0,0,0,1,6511,17673,
15734,,0,0,0,1,1602,3995,
15736,,0,0,0,0,936,3655,
15737,,1,1,1,1,1995,8665,
15738,,1,1,1,1,1073,4373,
15739,,0,0,0,0,865,3793,
15741,,0,0,0,1,907,2845,
15742,,0,0,0,1,2842,7201,
15745,,0,0,0,0,735,3415,
15746,,0,0,0,1,907,2845,
15747,,0,0,0,1,4773,14156,
15748,,0,0,0,1,7659,30099,
15750,,0,0,0,1,1556,3746,
15752,,0,0,0,0,1089,4709,
15754,,0,0,0,0,1391,4876,
15756,,0,0,0,1,1061,5345,
15757,,0,0,0,1,1935,4356,
15758,,0,0,0,1,1935,4356,
15759,,0,0,0,1,6221,15651,
15760,,1,1,1,1,1073,4373,
15761,,0,0,0,0,735,3415,
15762,,1,1,1,1,3482,11300,
15763,,0,0,0,1,2847,5018,
15765,,0,0,0,1,3196,12060,
15767,,0,0,0,1,4782,9374,
15771,,0,0,0,1,5689,12219,
15772,,0,0,0,1,1935,4356,
15773,,0,0,0,0,922,4292,
15774,,0,0,0,1,4697,19275,
15775,,0,1,0,1,1381,4199,
15777,,0,0,0,1,1602,3995,
15783,,0,0,0,1,466,1744,
15901,,1,1,1,1,6046,23591,
15902,,1,1,1,1,8252,25498,
15906,,1,1,1,1,9956,36626,
15907,,0,0,0,1,902,1453,
15909,,1,1,1,1,2530,11038,
15920,,0,0,0,1,2483,10409,
15921,,0,0,0,1,792,2976,
15922,,0,0,0,1,1028,2728,
15924,,0,0,0,1,2304,9167,
15925,,0,0,0,0,612,2680,
15927,,1,1,1,1,3069,13424,
15928,,0,0,0,1,1629,5512,
15929,,0,0,0,0,735,3415,
15930,,0,0,0,0,1129,6495,
15931,,1,1,1,1,8141,36336,
15934,,0,0,0,0,1129,6495,
15936,,0,0,0,1,5029,18034,
15937,,0,0,0,1,3673,11644,
15938,,0,0,0,0,2661,12952,
15940,,0,0,0,0,3518,17136,
15942,,0,0,0,0,3823,15932,
15943,,0,1,0,1,3735,17030,
15944,,0,0,0,1,1748,6994,
15945,,0,0,0,0,1187,4380,
15946,,0,1,0,1,3895,18722,
15948,,0,0,0,0,968,6323,
15949,,0,0,0,1,1245,4256,
15951,,0,0,0,0,2419,10621,
15952,,0,0,0,0,1129,6495,
15953,,0,0,0,0,1031,4991,
15954,,0,0,0,0,503,2738,
15955,,0,0,0,1,3211,13597,
15956,,0,0,0,0,3668,16176,
15957,,0,0,0,1,1763,6143,
15958,,0,0,0,1,4479,22256,
15959,,0,0,0,1,2210,7714,
15960,,0,0,0,1,1028,2728,
15961,,0,0,0,1,3008,13806,
15962,,0,1,0,1,1628,5813,
16002,,0,1,0,1,9806,47257,
16003,,0,1,0,1,1166,2698,
16020,,0,0,0,0,1374,4961,
16022,,0,0,0,0,1256,4532,
16024,,0,0,0,0,856,9348,
16025,,0,0,0,0,5371,20934,
